Agency,AI Use Case,Agency Use (Y/N)?,Name of Commercial Product or Service Used,Estimated # of Licenses/Users
Department of Health and Human Services,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Y,"Microsoft Teams, Microsoft 365 Copilot, ChatGPT, CHIRP, Otter AI, Slack","10,000-50,000"
Department of Health and Human Services,Prioritizing and categorizing incoming emails using AI.,Y,"Microsoft Outlook, Microsoft 365 Copilot","5001-10,000"
Department of Health and Human Services,"Editing images, videos, or other public affairs materials using AI.",Y,"Adobe Firefly, Gemini, Microsoft 365 Copilot, DALL-E, Biorender, Canva, ChatGPT","5001-10,000"
Department of Health and Human Services,Scheduling and managing social media posts using AI.,Y,"Sprout Social, ChatGPT, xAI gov",101-1000
Department of Health and Human Services,"Generating first drafts of documents, briefing, or communication materials using AI.",Y,"Microsoft 365 Copilot Chat, Microsoft 365 Copilot, AWS, ChatGPT, Gemini, xAI gov, CHIRP, Claude, EndNote, Microsoft Azure, Synthesia, Zotero, Credal + Claude and GPT API","10,000-50,000"
Department of Health and Human Services,Improving the quality of written communications using AI tools.,Y,"Microsoft 365 Copilot Chat, Grammarly, Microsoft 365 Copilot, ChatGPT, Perplexity, Stanford Storm, CHIRP, Credal + Claude and GPT API","10,000-50,000"
Department of Health and Human Services,Summarizing the key points of a lengthy report using AI.,Y,"Microsoft 365 Copilot Chat, Consensus, Adobe AI Assistant, ChatGPT, Perplexity, Claude, Cortellis, OFF-X, Gemini, Gemma (open LLM, Google Deep Mind), Microsoft 365 Copilot, scite.AI","10,000-50,000"
Department of Health and Human Services,Creating visual representations of data sets for reports or presentations using AI.,Y,"Tableau, Biorender, ChatGPT, Microsoft 365 Copilot, Gemini",1001-5000
Department of Health and Human Services,Using AI-assisted tools in word processors.,Y,"Microsoft Word, Microsoft 365 Copilot, Grammarly, ChatGPT, Gemini, Signals ELN","10,000-50,000"
Department of Health and Human Services,Generating code using AI.,Y,"Credal + Claude and GPT API, Amazon Q Developer, GitHub Copilot, Anaconda AI Navigator, ChatGPT, Claude, Gemini, IntelliJ IDEA Ult, Logi AI Prompt Builder, Microsoft 365 Copilot, Plantir Foundry, Sourcegraph","5001-10,000"
Department of Health and Human Services,Searching for agency information using a knowledge retrieval system.,Y,"Credal + Claude and GPT API, Palantir Foundry, Googla Appliance, Microsoft 365 Copilot Chat, ChatGPT, Gemini, Microsoft 365 Copilot, ScanSnap AI, ServiceNow","10,000-50,000"
Department of Health and Human Services,Identifying and cataloging items in a storage room using AI-driven image recognition.,Y,"Microsoft AI Builder, Azure OpenAI Service, Google Lens",101-1000
