Agency,AI Use Case,Agency Use (Y/N)?,Name of Commercial Product or Service Used,Estimated # of Licenses/Users
Morris K. Udall and Stewart L. Udall Foundation,Finding and booking travel accommodations using AI-powered platforms.,N,,
Morris K. Udall and Stewart L. Udall Foundation,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Y,Apple,1-100
National Aeronautics and Space Administration,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,N,,
National Aeronautics and Space Administration,Logging and analyzing time spent on tasks using AI-powered time management tools.,N,,
National Aeronautics and Space Administration,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Y,Teams,1001-5000
National Aeronautics and Space Administration,Prioritizing and categorizing incoming emails using AI.,N,,
National Aeronautics and Space Administration,"Editing images, videos, or other public affairs materials using AI.",Y,Adobe Connect,101-1000
National Aeronautics and Space Administration,Scheduling and managing social media posts using AI.,N,,
National Aeronautics and Space Administration,"Generating first drafts of documents, briefing, or communication materials using AI.",Y,"Microsoft Copilot, Gemini, Azure",1001-5000
National Aeronautics and Space Administration,Improving the quality of written communications using AI tools.,Y,Microsoft Copilot,1-100
National Aeronautics and Space Administration,Summarizing the key points of a lengthy report using AI.,Y,"Microsoft Copilot, Gemini, Azure, OpenAI, Box",1001-5000
National Aeronautics and Space Administration,Creating visual representations of data sets for reports or presentations using AI.,Y,"Azure, Amazon Web Services, Mural",1001-5000
National Aeronautics and Space Administration,Using AI-assisted tools in word processors.,Y,Microsoft Copilot,1001-5000
National Aeronautics and Space Administration,Generating code using AI.,Y,"Azure, Alteryx, Microsoft Power Suite, Windsurf",1001-5000
National Aeronautics and Space Administration,Searching for agency information using a knowledge retrieval system.,Y,Gemini,1-100
National Aeronautics and Space Administration,Identifying and cataloging items in a storage room using AI-driven image recognition.,N,,
National Aeronautics and Space Administration,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",N,,
National Aeronautics and Space Administration,Managing and prioritizing internal service or help desk tickets using AI.,Y,"Alteryx, Microsoft Power BI","5001-10,000"
National Aeronautics and Space Administration,Curating news articles and updates based on user preferences using AI.,Y,"Azure, OpenAI",1-100
National Aeronautics and Space Administration,Planning travel routes using AI-driven map applications.,N,,
National Aeronautics and Space Administration,Finding and booking travel accommodations using AI-powered platforms.,Y,AWS Bedrock,1-100
National Aeronautics and Space Administration,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Y,Apple iPhone,"5001-10,000"
National Credit Union Administration,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,Y,Various,1-100
National Credit Union Administration,Logging and analyzing time spent on tasks using AI-powered time management tools.,Y,Various,1-100
National Credit Union Administration,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Y,Various,1-100
National Credit Union Administration,Prioritizing and categorizing incoming emails using AI.,N,,
National Credit Union Administration,"Editing images, videos, or other public affairs materials using AI.",Y,Various,1-100
National Credit Union Administration,Scheduling and managing social media posts using AI.,N,,
National Credit Union Administration,"Generating first drafts of documents, briefing, or communication materials using AI.",Y,Various,1-100
National Credit Union Administration,Improving the quality of written communications using AI tools.,Y,Various,1-100
National Credit Union Administration,Summarizing the key points of a lengthy report using AI.,Y,Various,1-100
National Credit Union Administration,Creating visual representations of data sets for reports or presentations using AI.,Y,Various,1-100
National Credit Union Administration,Using AI-assisted tools in word processors.,Y,Various,1-100
National Credit Union Administration,Generating code using AI.,Y,Various,1-100
National Credit Union Administration,Searching for agency information using a knowledge retrieval system.,Y,Various,1-100
National Credit Union Administration,Identifying and cataloging items in a storage room using AI-driven image recognition.,N,,
National Credit Union Administration,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Y,Various,1-100
National Credit Union Administration,Managing and prioritizing internal service or help desk tickets using AI.,Y,Various,1-100
National Credit Union Administration,Curating news articles and updates based on user preferences using AI.,N,,
National Credit Union Administration,Planning travel routes using AI-driven map applications.,N,,
National Credit Union Administration,Finding and booking travel accommodations using AI-powered platforms.,N,,
National Credit Union Administration,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Y,Various,101-1000
National Endowment of the Arts,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,Y,Microsoft CoPilot,101-1000
National Endowment of the Arts,Logging and analyzing time spent on tasks using AI-powered time management tools.,N,,
National Endowment of the Arts,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Y,Microsoft CoPilot,101-1000
National Endowment of the Arts,Prioritizing and categorizing incoming emails using AI.,Y,Microsoft CoPilot,101-1000
National Endowment of the Arts,"Editing images, videos, or other public affairs materials using AI.",Y,Adobe Firefly,1-100
National Endowment of the Arts,Scheduling and managing social media posts using AI.,N,,
National Endowment of the Arts,"Generating first drafts of documents, briefing, or communication materials using AI.",Y,"Microsoft CoPilot, ChatGPT",101-1000
National Endowment of the Arts,Improving the quality of written communications using AI tools.,Y,Grammarly,1-100
National Endowment of the Arts,Summarizing the key points of a lengthy report using AI.,Y,"Microsoft CoPilot, ChatGPT",101-1000
National Endowment of the Arts,Creating visual representations of data sets for reports or presentations using AI.,Y,"Microsoft CoPilot, ChatGPT",101-1000
National Endowment of the Arts,Using AI-assisted tools in word processors.,Y,Microsoft Copilot,101-1000
National Endowment of the Arts,Generating code using AI.,Y,Github Copilot,1-100
National Endowment of the Arts,Searching for agency information using a knowledge retrieval system.,Y,Microsoft Copilot,101-1000
National Endowment of the Arts,Identifying and cataloging items in a storage room using AI-driven image recognition.,Y,Google Lens,1-100
National Endowment of the Arts,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Y,Microsoft defender,101-1000
National Endowment of the Arts,Managing and prioritizing internal service or help desk tickets using AI.,N,,
National Endowment of the Arts,Curating news articles and updates based on user preferences using AI.,Y,Google News Brief,1-100
National Endowment of the Arts,Planning travel routes using AI-driven map applications.,Y,Googel Maps,1-100
National Endowment of the Arts,Finding and booking travel accommodations using AI-powered platforms.,N,,
National Endowment of the Arts,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,N,,
National Endowment for the Humanities,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,Y,Microsoft Copilot,1-100
National Endowment for the Humanities,Logging and analyzing time spent on tasks using AI-powered time management tools.,N,,
National Endowment for the Humanities,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Y,Microsoft Copilot,1-100
National Endowment for the Humanities,Prioritizing and categorizing incoming emails using AI.,Y,Microsoft Copilot,1-100
National Endowment for the Humanities,"Editing images, videos, or other public affairs materials using AI.",N,,
National Endowment for the Humanities,Scheduling and managing social media posts using AI.,N,,
National Endowment for the Humanities,"Generating first drafts of documents, briefing, or communication materials using AI.",Y,Microsoft Copilot,1-100
National Endowment for the Humanities,Improving the quality of written communications using AI tools.,Y,Microsoft Copilot,1-100
National Endowment for the Humanities,Summarizing the key points of a lengthy report using AI.,Y,"Microsoft Copilot, Azure OpenAI",1-100
National Endowment for the Humanities,Creating visual representations of data sets for reports or presentations using AI.,N,,
National Endowment for the Humanities,Using AI-assisted tools in word processors.,Y,Microsoft Copilot,1-100
National Endowment for the Humanities,Generating code using AI.,N,,
National Endowment for the Humanities,Searching for agency information using a knowledge retrieval system.,Y,Microsoft Copilot,1-100
National Endowment for the Humanities,Identifying and cataloging items in a storage room using AI-driven image recognition.,N,,
National Endowment for the Humanities,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",N,,
National Endowment for the Humanities,Managing and prioritizing internal service or help desk tickets using AI.,N,,
National Endowment for the Humanities,Curating news articles and updates based on user preferences using AI.,N,,
National Endowment for the Humanities,Planning travel routes using AI-driven map applications.,N,,
National Endowment for the Humanities,Finding and booking travel accommodations using AI-powered platforms.,N,,
National Endowment for the Humanities,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,N,,
National Indian Gaming Commission,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,N,,
National Indian Gaming Commission,Logging and analyzing time spent on tasks using AI-powered time management tools.,N,,
National Indian Gaming Commission,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",N,,
National Indian Gaming Commission,Prioritizing and categorizing incoming emails using AI.,N,,
National Indian Gaming Commission,"Editing images, videos, or other public affairs materials using AI.",Y,Adobe Photoshop AI (AI Plugin) Artic,1-100
National Indian Gaming Commission,Scheduling and managing social media posts using AI.,N,,
National Indian Gaming Commission,"Generating first drafts of documents, briefing, or communication materials using AI.",N,,
National Indian Gaming Commission,Improving the quality of written communications using AI tools.,N,,
National Indian Gaming Commission,Summarizing the key points of a lengthy report using AI.,N,,
National Indian Gaming Commission,Creating visual representations of data sets for reports or presentations using AI.,N,,
National Indian Gaming Commission,Using AI-assisted tools in word processors.,Y,Microsoft Copilot,1-100
National Indian Gaming Commission,Generating code using AI.,N,,
National Indian Gaming Commission,Searching for agency information using a knowledge retrieval system.,N,,
National Indian Gaming Commission,Identifying and cataloging items in a storage room using AI-driven image recognition.,N,,
National Indian Gaming Commission,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",N,,
National Indian Gaming Commission,Managing and prioritizing internal service or help desk tickets using AI.,N,,
National Indian Gaming Commission,Curating news articles and updates based on user preferences using AI.,Y,Law360 (Lexis Nexis),1-100
National Indian Gaming Commission,Planning travel routes using AI-driven map applications.,N,,
National Indian Gaming Commission,Finding and booking travel accommodations using AI-powered platforms.,N,,
National Indian Gaming Commission,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,N,,
National Labor Relations Board,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,N,,
National Labor Relations Board,Logging and analyzing time spent on tasks using AI-powered time management tools.,N,,
National Labor Relations Board,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",N,,
National Labor Relations Board,Prioritizing and categorizing incoming emails using AI.,N,,
National Labor Relations Board,"Editing images, videos, or other public affairs materials using AI.",N,,
National Labor Relations Board,Scheduling and managing social media posts using AI.,N,,
National Labor Relations Board,"Generating first drafts of documents, briefing, or communication materials using AI.",Y,"CoPilot, Westlaw",1-100
National Labor Relations Board,Improving the quality of written communications using AI tools.,Y,"CoPilot, Westlaw",1-100
National Labor Relations Board,Summarizing the key points of a lengthy report using AI.,Y,"CoPilot, Westlaw",1-100
National Labor Relations Board,Creating visual representations of data sets for reports or presentations using AI.,N,,
National Labor Relations Board,Using AI-assisted tools in word processors.,Y,CoPilot,1-100
National Labor Relations Board,Generating code using AI.,Y,GitHub CoPilot,1-100
National Labor Relations Board,Searching for agency information using a knowledge retrieval system.,Y,CoPilot,1-100
National Labor Relations Board,Identifying and cataloging items in a storage room using AI-driven image recognition.,N,,
National Labor Relations Board,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",N,,
National Labor Relations Board,Managing and prioritizing internal service or help desk tickets using AI.,Y,"CoPilot, ServiceNow",1-100
National Labor Relations Board,Curating news articles and updates based on user preferences using AI.,N,,
National Labor Relations Board,Planning travel routes using AI-driven map applications.,N,,
National Labor Relations Board,Finding and booking travel accommodations using AI-powered platforms.,N,,
National Labor Relations Board,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,N,,
National Transportation Safety Board,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,N,,
National Transportation Safety Board,Logging and analyzing time spent on tasks using AI-powered time management tools.,Y,Viva Insights,1-100
National Transportation Safety Board,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Y,"Microsoft Teams, Microsoft Copilot, Zoom",101-1000
National Transportation Safety Board,Prioritizing and categorizing incoming emails using AI.,Y,,101-1000
National Transportation Safety Board,"Editing images, videos, or other public affairs materials using AI.",Y,Adobe Suite,1-100
National Transportation Safety Board,Scheduling and managing social media posts using AI.,Y,Sprout Social,1-100
National Transportation Safety Board,"Generating first drafts of documents, briefing, or communication materials using AI.",Y,Microsoft Copilot,101-1000
National Transportation Safety Board,Improving the quality of written communications using AI tools.,Y,Microsoft Copilot,101-1000
National Transportation Safety Board,Summarizing the key points of a lengthy report using AI.,Y,Microsoft Copilot,101-1000
National Transportation Safety Board,Creating visual representations of data sets for reports or presentations using AI.,N,,
National Transportation Safety Board,Using AI-assisted tools in word processors.,Y,Microsoft Copilot,101-1000
National Transportation Safety Board,Generating code using AI.,Y,"GitHub Copilot, Power Automate",101-1000
National Transportation Safety Board,Searching for agency information using a knowledge retrieval system.,Y,Microsoft Copilot,101-1000
National Transportation Safety Board,Identifying and cataloging items in a storage room using AI-driven image recognition.,N,,
National Transportation Safety Board,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",N,,
National Transportation Safety Board,Managing and prioritizing internal service or help desk tickets using AI.,N,,
National Transportation Safety Board,Curating news articles and updates based on user preferences using AI.,Y,"Meltwater, Google News",1-100
National Transportation Safety Board,Planning travel routes using AI-driven map applications.,Y,"Google Maps, Apple Maps, Waze",101-1000
National Transportation Safety Board,Finding and booking travel accommodations using AI-powered platforms.,N,,
National Transportation Safety Board,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Y,Apple iPhone,101-1000
Occupational Safety and Health Review Commission,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,N,,
Occupational Safety and Health Review Commission,Logging and analyzing time spent on tasks using AI-powered time management tools.,N,,
Occupational Safety and Health Review Commission,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",N,,
Occupational Safety and Health Review Commission,Prioritizing and categorizing incoming emails using AI.,N,,
Occupational Safety and Health Review Commission,"Editing images, videos, or other public affairs materials using AI.",Y,Microsoft 365 apps,1-100
Occupational Safety and Health Review Commission,Scheduling and managing social media posts using AI.,N,,
Occupational Safety and Health Review Commission,"Generating first drafts of documents, briefing, or communication materials using AI.",N,,
Occupational Safety and Health Review Commission, Improving the quality of written communications using AI tools.,Y,Microsoft 365 apps,1-100
Occupational Safety and Health Review Commission,Summarizing the key points of a lengthy report using AI.,N,,
Occupational Safety and Health Review Commission,Creating visual representations of data sets for reports or presentations using AI.,N,,
Occupational Safety and Health Review Commission,Using AI-assisted tools in word processors.,Y,Microsoft 365 apps,1-100
Occupational Safety and Health Review Commission,Generating code using AI.,N,,
Occupational Safety and Health Review Commission,Searching for agency information using a knowledge retrieval system.,N,,
Occupational Safety and Health Review Commission,Identifying and cataloging items in a storage room using AI-driven image recognition.,N,,
Occupational Safety and Health Review Commission,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Y,"Microsoft Defender
Crowdstrike Falcon",1-100
Occupational Safety and Health Review Commission,Managing and prioritizing internal service or help desk tickets using AI.,N,,
Occupational Safety and Health Review Commission,Curating news articles and updates based on user preferences using AI.,N,,
Occupational Safety and Health Review Commission,Planning travel routes using AI-driven map applications.,N,,
Occupational Safety and Health Review Commission,Finding and booking travel accommodations using AI-powered platforms.,Y,SAP Concur,1-100
Occupational Safety and Health Review Commission,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,N,,
Office of Personnel Management,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,,,
Office of Personnel Management,Logging and analyzing time spent on tasks using AI-powered time management tools.,,,
Office of Personnel Management,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",,,
Office of Personnel Management,Prioritizing and categorizing incoming emails using AI.,,,
Office of Personnel Management,"Editing images, videos, or other public affairs materials using AI.",,,
Office of Personnel Management,Scheduling and managing social media posts using AI.,,,
Office of Personnel Management,"Generating first drafts of documents, briefing, or communication materials using AI.",Y,"Grok, MS Copilot, OpenAI ChatGPT",
Office of Personnel Management,Improving the quality of written communications using AI tools.,,,
Office of Personnel Management,Summarizing the key points of a lengthy report using AI.,,,
Office of Personnel Management,Creating visual representations of data sets for reports or presentations using AI.,,,
Office of Personnel Management,Using AI-assisted tools in word processors.,,,
Office of Personnel Management,Generating code using AI.,Y,Codex,
Office of Personnel Management,Searching for agency information using a knowledge retrieval system.,,,
Office of Personnel Management,Identifying and cataloging items in a storage room using AI-driven image recognition.,,,
Office of Personnel Management,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Y,"MS Defender, Wiz",
Office of Personnel Management,Managing and prioritizing internal service or help desk tickets using AI.,Y,Zendesk,
Office of Personnel Management,Curating news articles and updates based on user preferences using AI.,,,
Office of Personnel Management,Planning travel routes using AI-driven map applications.,,,
Office of Personnel Management,Finding and booking travel accommodations using AI-powered platforms.,,,
Office of Personnel Management,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,,,
Pension Benefit Guaranty Corporation,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,N,,
Pension Benefit Guaranty Corporation,Logging and analyzing time spent on tasks using AI-powered time management tools.,N,,
Pension Benefit Guaranty Corporation,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Y,Microsoft Teams Premium (with intelligent meeting recap),101-1000
Pension Benefit Guaranty Corporation,Prioritizing and categorizing incoming emails using AI.,N,,
Pension Benefit Guaranty Corporation,"Editing images, videos, or other public affairs materials using AI.",N,,
Pension Benefit Guaranty Corporation,Scheduling and managing social media posts using AI.,N,,
Pension Benefit Guaranty Corporation,"Generating first drafts of documents, briefing, or communication materials using AI.",Y,Microsoft Copilot,1001-5000
Pension Benefit Guaranty Corporation, Improving the quality of written communications using AI tools.,N,,
Pension Benefit Guaranty Corporation,Summarizing the key points of a lengthy report using AI.,Y,Microsoft Copilot,1-100
Pension Benefit Guaranty Corporation,Creating visual representations of data sets for reports or presentations using AI.,N,,
Pension Benefit Guaranty Corporation,Using AI-assisted tools in word processors.,N,,
Pension Benefit Guaranty Corporation,Generating code using AI.,N,,
Pension Benefit Guaranty Corporation,Searching for agency information using a knowledge retrieval system.,N,,
Pension Benefit Guaranty Corporation,Identifying and cataloging items in a storage room using AI-driven image recognition.,N,,
Pension Benefit Guaranty Corporation,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Y,Zscaler,1-100
Pension Benefit Guaranty Corporation,Managing and prioritizing internal service or help desk tickets using AI.,Y,ServiceNow (Now Assist),101-1000
Pension Benefit Guaranty Corporation,Curating news articles and updates based on user preferences using AI.,N,,
Pension Benefit Guaranty Corporation,Planning travel routes using AI-driven map applications.,Y,Native map applications on mobile devices,101-1000
Pension Benefit Guaranty Corporation,Finding and booking travel accommodations using AI-powered platforms.,N,,
Pension Benefit Guaranty Corporation,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,N,,
Securities and Exchange Commission,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,N,,
Securities and Exchange Commission,Logging and analyzing time spent on tasks using AI-powered time management tools.,N,,
Securities and Exchange Commission,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Y,"YouTube Live, Microsoft Teams
auto caption, WebEx auto caption",1-100
Securities and Exchange Commission,Prioritizing and categorizing incoming emails using AI.,N,,
Securities and Exchange Commission,"Editing images, videos, or other public affairs materials using AI.",Y,"Vyond for Government, Adobe 
Firefly, Audiate, Snagit, Davinci Resolve",101-1000
Securities and Exchange Commission,Scheduling and managing social media posts using AI.,N,,
Securities and Exchange Commission,"Generating first drafts of documents, briefing, or communication materials using AI.",Y,"Microsoft Copilot 365, Vyond
for Government","5001-10,000"
Securities and Exchange Commission,Improving the quality of written communications using AI tools.,Y,"Microsoft Copilot Studio,
Microsoft Copilot 365, Systran Translate Server, Bravozone","5001-10,000"
Securities and Exchange Commission,Summarizing the key points of a lengthy report using AI.,Y,"VAO Ally, Intelligize+ AI, 
Microsoft Copilot 365, Bloomberg Government, 
Bloomberg Law, Google AI
Mode, Flashpoint Ignite AI, Flashpoint Echosec AI, Magnet Copilot","5001-10,000"
Securities and Exchange Commission,Creating visual representations of data sets for reports or presentations using AI.,Y,Alteryx,1-100
Securities and Exchange Commission,Using AI-assisted tools in word processors.,Y,"Microsoft Copilot 365,
Microsoft Copilot Studio","5001-10,000"
Securities and Exchange Commission,Generating code using AI.,Y,"GitHub Copilot, TOAD AIExplain",101-1000
Securities and Exchange Commission,Searching for agency information using a knowledge retrieval system.,Y,"ServiceNow HR Service Delivery,
Microsoft Copilot 365, Magnet Copilot","5001-10,000"
Securities and Exchange Commission,Identifying and cataloging items in a storage room using AI-driven image recognition.,N,,
Securities and Exchange Commission,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Y,"HackerOne in-platform AI,
NetApp ARP/AI",1-100
Securities and Exchange Commission,Managing and prioritizing internal service or help desk tickets using AI.,N,,
Securities and Exchange Commission,Curating news articles and updates based on user preferences using AI.,Y,,101-1000
Securities and Exchange Commission,Planning travel routes using AI-driven map applications.,Y,Apple Maps,"5001-10,000"
Securities and Exchange Commission,Finding and booking travel accommodations using AI-powered platforms.,N,,
Securities and Exchange Commission,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Y,Apple iPhone,"5001-10,000"
Small Business Administration,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,Y,Microsoft CoPilot,"5001-10,000"
Small Business Administration,Logging and analyzing time spent on tasks using AI-powered time management tools.,Y,Perplexity,1-100
Small Business Administration,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Y,Microsoft Copilot ,"5001-10,000"
Small Business Administration,Prioritizing and categorizing incoming emails using AI.,Y,Perplexity,1-100
Small Business Administration,"Editing images, videos, or other public affairs materials using AI.",N,,
Small Business Administration,Scheduling and managing social media posts using AI.,Y,Sprout Social,1-100
Small Business Administration,"Generating first drafts of documents, briefing, or communication materials using AI.",Y,"Microsoft CoPilot, Perplexity, Gemini","5001-10,000"
Small Business Administration,Improving the quality of written communications using AI tools.,Y,"Grammarly, Microsoft CoPilot, Perplexity, Gemini","5001-10,000"
Small Business Administration,Summarizing the key points of a lengthy report using AI.,Y,"Perplexity, Gemini",1-100
Small Business Administration,Creating visual representations of data sets for reports or presentations using AI.,Y,"Perplexity, Tableau AI",1-100
Small Business Administration,Using AI-assisted tools in word processors.,Y,"Microsoft CoPilot, Perplexity, Gemini","5001-10,000"
Small Business Administration,Generating code using AI.,Y,"Github CoPilot, Amazon Q Developer, Perplexity",1-100
Small Business Administration,Searching for agency information using a knowledge retrieval system.,Y,"Microsoft CoPilot, Perplexity, Gemini, Salesforce Einstein","5001-10,000"
Small Business Administration,Identifying and cataloging items in a storage room using AI-driven image recognition.,N,,
Small Business Administration,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Y,"Microsoft Defender, SentinelOne, Wiz, Traceable","5001-10,000"
Small Business Administration,Managing and prioritizing internal service or help desk tickets using AI.,Y,ServiceNow AIOps,"5001-10,000"
Small Business Administration,Curating news articles and updates based on user preferences using AI.,Y,Meltwater,1-100
Small Business Administration,Planning travel routes using AI-driven map applications.,Y,Apple Maps,1001-5000
Small Business Administration,Finding and booking travel accommodations using AI-powered platforms.,N,,
Small Business Administration,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Y,Apple iPhone,1001-5000
Surface Transportation Board,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,N,,
Surface Transportation Board,Logging and analyzing time spent on tasks using AI-powered time management tools.,N,,
Surface Transportation Board,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",N,,
Surface Transportation Board,Prioritizing and categorizing incoming emails using AI.,Y,Copilot for MS 365,101-1000
Surface Transportation Board,"Editing images, videos, or other public affairs materials using AI.",N,,
Surface Transportation Board,Scheduling and managing social media posts using AI.,N,,
Surface Transportation Board,"Generating first drafts of documents, briefing, or communication materials using AI.",Y,Copilot for MS 365,101-1000
Surface Transportation Board,Improving the quality of written communications using AI tools.,Y,Copilot for MS 365,101-1000
Surface Transportation Board,Summarizing the key points of a lengthy report using AI.,Y,Copilot for MS 365,101-1000
Surface Transportation Board,Creating visual representations of data sets for reports or presentations using AI.,Y,Copilot for MS 365,101-1000
Surface Transportation Board,Using AI-assisted tools in word processors.,Y,Copilot for MS 365,101-1000
Surface Transportation Board,Generating code using AI.,N,,
Surface Transportation Board,Searching for agency information using a knowledge retrieval system.,Y,Copilot for MS 365,101-1000
Surface Transportation Board,Identifying and cataloging items in a storage room using AI-driven image recognition.,N,,
Surface Transportation Board,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",N,,
Surface Transportation Board,Managing and prioritizing internal service or help desk tickets using AI.,N,,
Surface Transportation Board,Curating news articles and updates based on user preferences using AI.,N,,
Surface Transportation Board,Planning travel routes using AI-driven map applications.,Y,Apple iPhone,101-1000
Surface Transportation Board,Finding and booking travel accommodations using AI-powered platforms.,N,,
Surface Transportation Board,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Y,Apple iPhone,101-1000
Tennessee Valley Authority,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,N,,
Tennessee Valley Authority,Logging and analyzing time spent on tasks using AI-powered time management tools.,N,,
Tennessee Valley Authority,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Y,Microsoft Copilot,101-1000
Tennessee Valley Authority,Prioritizing and categorizing incoming emails using AI.,Y,Microsoft Copilot,101-1000
Tennessee Valley Authority,"Editing images, videos, or other public affairs materials using AI.",N,,
Tennessee Valley Authority,Scheduling and managing social media posts using AI.,N,,
Tennessee Valley Authority,"Generating first drafts of documents, briefing, or communication materials using AI.",Y,Microsoft Copilot,101-1000
Tennessee Valley Authority,Improving the quality of written communications using AI tools.,Y,Microsoft Copilot,101-1000
Tennessee Valley Authority,Summarizing the key points of a lengthy report using AI.,Y,Microsoft Copilot,101-1000
Tennessee Valley Authority,Creating visual representations of data sets for reports or presentations using AI.,Y,Microsoft Copilot,
Tennessee Valley Authority,Using AI-assisted tools in word processors.,Y,Microsoft Copilot,101-1000
Tennessee Valley Authority,Generating code using AI.,Y,"Github Copilot, AWS Q",
Tennessee Valley Authority,Searching for agency information using a knowledge retrieval system.,Y,"Microsoft CoPilot, ServiceNow, Dataiku",
Tennessee Valley Authority,Identifying and cataloging items in a storage room using AI-driven image recognition.,N,,
Tennessee Valley Authority,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",N,,
Tennessee Valley Authority,Managing and prioritizing internal service or help desk tickets using AI.,Y,"Amazon Connect, ServiceNow",
Tennessee Valley Authority,Curating news articles and updates based on user preferences using AI.,N,,
Tennessee Valley Authority,Planning travel routes using AI-driven map applications.,N,,
Tennessee Valley Authority,Finding and booking travel accommodations using AI-powered platforms.,N,,
Tennessee Valley Authority,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,N,,
United States Election Assistance Commission,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,N,,
United States Election Assistance Commission,Logging and analyzing time spent on tasks using AI-powered time management tools.,N,,
United States Election Assistance Commission,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Y,"Zoom, Teams",1-100
United States Election Assistance Commission,Prioritizing and categorizing incoming emails using AI.,Y,"ChatGPT, Claude, Copilot, Perplexity",1-100
United States Election Assistance Commission,"Editing images, videos, or other public affairs materials using AI.",Y,"ChatGPT, Claude, Copilot",1-100
United States Election Assistance Commission,Scheduling and managing social media posts using AI.,N,,
United States Election Assistance Commission,"Generating first drafts of documents, briefing, or communication materials using AI.",Y,"ChatGPT, Claude, Copilot, Perplexity",1-100
United States Election Assistance Commission,Improving the quality of written communications using AI tools.,Y,"ChatGPT, Claude, Copilot, Perplexity",1-100
United States Election Assistance Commission,Summarizing the key points of a lengthy report using AI.,Y,"ChatGPT, Claude, Copilot, Perplexity",1-100
United States Election Assistance Commission,Creating visual representations of data sets for reports or presentations using AI.,Y,"ChatGPT, Claude, Copilot, Perplexity",1-100
